CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
6,LC,60382,E,25,0,,1.77346,0.68047,0.08704,AZUL,1065,,0
8,LC,118120,A,23,0,,1.53331,2.16698,0.23705,AZUL,1065,,0
10,LC,49544,C,28,0,,2.43974,1.15872,0.12513,AZUL,1065,,0
11,LC,41810,A,29,0,,0.92958,0.15096,0.01173,AZUL,1065,,0
12,LC,42674,B,27,0,,2.26956,0.51892,0.2337,AZUL,1065,,0
13,LC,120622,B,30,0,,2.558,0.65099,0.12178,AZUL,1065,,0
14,LC,42940,D,22,0,,1.30734,-0.29879,0.00797,AZUL,1065,,0
16,LC,141427,E,3,0,,2.40522,2.28139,0.1137,AZUL,1065,,0
17,LC,141464,B,4,0,,0.94658,1.25172,0.21415,AZUL,1065,,0
18,LC,67229,A,18,0,,2.64295,1.76932,0.18786,AZUL,1065,,0
19,LC,120124,C,9,0,,2.93292,0.03337,0.17638,AZUL,1065,,0
20,LC,45201,C,10,0,,2.64453,1.04534,0.13269,AZUL,1065,,0
21,LC,140827,B,15,0,,2.05337,0.67994,0.17382,AZUL,1065,,0
22,LC,39101,E,22,0,,2.07003,1.19098,0.13567,AZUL,1065,,0
23,LC,9716,E,16,0,,0.9036,1.48142,0.05685,AZUL,1065,,0
25,LC,141203,C,9,0,,1.71461,-0.15137,0.18763,AZUL,1065,,0
26,LC,96502,C,19,0,,1.14926,-0.51604,0.00912,AZUL,1065,,0
28,LC,120626,B,20,0,,0.82491,0.89707,0.03562,AZUL,1065,,0
29,LC,111954,D,15,0,,0.78612,1.19878,0.06459,AZUL,1065,,0
30,LC,26545,C,15,0,,4.15101,1.348,0.0928,AZUL,1065,,0
31,LC,89149,A,16,0,,1.05565,0.45772,0.03348,AZUL,1065,,0
33,LC,86703,A,1,0,,2.08922,0.96392,0.23742,AZUL,1065,,0
34,LC,119767,D,11,0,,2.11177,-0.55865,0.18565,AZUL,1065,,0
35,LC,140898,C,1,0,,1.69478,2.32558,0.16355,AZUL,1065,,0
36,LC,111961,C,2,0,,1.6838,0.70642,0.29621,AZUL,1065,,0
37,LC,141390,A,30,0,,1.54579,-0.30477,0.00839,AZUL,1065,,0
40,LC,6864,D,16,0,,0.57225,0.0979,0.01556,AZUL,1065,,0
41,LC,10776,B,17,0,,1.35922,-0.10494,0.00701,AZUL,1065,,0
42,LC,90238,D,17,0,,1.32058,0.69547,0.07827,AZUL,1065,,0
43,LC,78112,E,17,0,,0.76335,0.46065,0.00865,AZUL,1065,,0
45,LC,141261,E,14,0,,2.31367,0.48334,0.18144,AZUL,1065,,0
