CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO
6,LC,141233,D,9,0,,1.74151,0.50452,0.15417,AZUL,1201,,0
7,LC,140884,A,17,0,,1.35926,1.14954,0.23381,AZUL,1201,,0
8,LC,141443,C,27,0,,2.20477,0.52119,0.1393,AZUL,1201,,0
9,LC,88031,E,30,0,,1.73107,1.60103,0.19199,AZUL,1201,,0
10,LC,111887,E,29,0,,3.04416,0.33951,0.1833,AZUL,1201,,0
11,LC,118301,D,23,0,,0.95292,-0.47764,0.00564,AZUL,1201,,0
12,LC,141776,C,15,0,,1.22341,0.82185,0.06897,AZUL,1201,,0
13,LC,140949,C,16,0,,1.43175,0.80537,0.12273,AZUL,1201,,0
14,LC,140899,D,29,0,,1.22127,1.21426,0.22043,AZUL,1201,,0
15,LC,118195,B,30,0,,1.67063,-0.06011,0.08734,AZUL,1201,,0
16,LC,140918,A,26,0,,2.96562,0.57507,0.16642,AZUL,1201,,0
17,LC,120115,D,27,0,,3.23823,0.59679,0.20038,AZUL,1201,,0
18,LC,140905,B,28,0,,2.28551,2.41311,0.221,AZUL,1201,,0
19,LC,141474,D,23,0,,1.63551,0.00891,0.2048,AZUL,1201,,0
20,LC,140869,E,24,0,,1.15309,1.88931,0.22049,AZUL,1201,,0
21,LC,140942,D,25,0,,2.53674,0.2806,0.1843,AZUL,1201,,0
22,LC,140847,C,20,0,,3.15133,0.25141,0.1738,AZUL,1201,,0
23,LC,140987,C,22,0,,1.84344,1.65132,0.12303,AZUL,1201,,0
25,LC,140880,B,16,0,,2.11251,0.83411,0.21824,AZUL,1201,,0
26,LC,140959,C,17,0,,3.54204,2.45238,0.11597,AZUL,1201,,0
27,LC,141814,A,18,0,,1.22374,0.19619,0.20612,AZUL,1201,,0
28,LC,141448,C,19,0,,0.99432,-0.13224,0.02226,AZUL,1201,,0
29,LC,140944,E,15,0,,1.74817,1.91976,0.19926,AZUL,1201,,0
30,LC,140885,A,15,0,,3.32492,0.4163,0.18782,AZUL,1201,,0
31,LC,140858,C,16,0,,2.59213,1.19798,0.23009,AZUL,1201,,0
32,LC,141229,A,14,0,,2.6904,1.08302,0.17386,AZUL,1201,,0
35,LC,141243,A,11,0,,2.00614,-0.27647,0.09754,AZUL,1201,,0
36,LC,141260,A,12,0,,1.74835,0.77042,0.16206,AZUL,1201,,0
37,LC,141201,C,12,0,,1.33139,1.23174,0.22153,AZUL,1201,,0
38,LC,141214,A,13,0,,2.36405,0.00914,0.19662,AZUL,1201,,0
39,LC,97007,C,4,0,,1.9592,0.91289,0.16231,AZUL,1201,,0
40,LC,141212,B,11,0,,1.8902,0.53683,0.20416,AZUL,1201,,0
41,LC,141204,B,10,0,,1.81453,-0.08926,0.19896,AZUL,1201,,0
42,LC,141802,E,10,0,,2.59779,-0.03089,0.21017,AZUL,1201,,0
43,LC,16384,A,1,0,,1.35809,0.9065,0.15984,AZUL,1201,,0
45,LC,140920,E,3,0,,1.41999,0.67926,0.21271,AZUL,1201,,0
